researcher name,grant years,paper1,paper2,paper3,paper4,paper5,paper6
Aubin Moutal,[2017],,,,,,
Jeff Gehlhausen,[2014],,,,,,
David Wiemer,"[2008, 2009]",,,,,,
Bakhos Tannous,[2009],,,,,,
Kim AeRang,[2011],,,,,,
Chunling Yi,[2011],"10.1007_s00401-011-0905-0.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt",,,,,
Andrea McClatchey,"[2008, 2011, 2010, 2013, 2015, 2016]","10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1016_j.cub.2007.11.066.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1158_1078-0432.CCR-08-3011.txt","10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1016_j.cub.2007.11.066.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1158_1078-0432.CCR-08-3011.txt","10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1016_j.cub.2007.11.066.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1158_1078-0432.CCR-08-3011.txt","10.1016_j.cub.2007.11.066.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1158_1078-0432.CCR-08-3011.txt","10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1158_1078-0432.CCR-08-3011.txt",10.1158_1078-0432.CCR-08-3011.txt
Okay Saydam,[2009],"10.18632_oncotarget.251.txt , 10.1089_hum.2012.094.txt , 10.1128_MCB.00332-09.txt",,,,,
Antonio Iavarone,[2018],,,,,,
Karen Cichowski,"[2007, 2011, 2013, 2014, 2015, 2016]","10.1002_gcc.20921.txt , 10.1101_gad.190876.112.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_pbc.25546.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.ccr.2009.05.009.txt , 10.1002_ajmg.a.38239.txt , 10.1158_2159-8290.CD-13-0146.txt , 10.1016_j.celrep.2013.12.001.txt , 10.1016_j.cub.2007.11.066.txt , 10.1101_gad.1054703.txt , 10.1007_s00401-011-0905-0.txt , 10.1158_2159-8290.CD-12-0313.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1016_S1534-5807(01)00009-0.txt , 10.1172_JCI85183.txt","10.1002_ajmg.a.36312.txt , 10.1016_j.ccr.2009.05.009.txt , 10.1002_ajmg.a.38239.txt , 10.1158_2159-8290.CD-13-0146.txt , 10.1016_j.celrep.2013.12.001.txt , 10.1016_j.cub.2007.11.066.txt , 10.1101_gad.1054703.txt , 10.1007_s00401-011-0905-0.txt , 10.1158_2159-8290.CD-12-0313.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1016_S1534-5807(01)00009-0.txt , 10.1172_JCI85183.txt","10.1002_ajmg.a.38239.txt , 10.1158_2159-8290.CD-13-0146.txt , 10.1016_j.celrep.2013.12.001.txt , 10.1016_j.cub.2007.11.066.txt , 10.1101_gad.1054703.txt , 10.1007_s00401-011-0905-0.txt , 10.1158_2159-8290.CD-12-0313.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1016_S1534-5807(01)00009-0.txt , 10.1172_JCI85183.txt","10.1158_2159-8290.CD-13-0146.txt , 10.1016_j.celrep.2013.12.001.txt , 10.1016_j.cub.2007.11.066.txt , 10.1101_gad.1054703.txt , 10.1007_s00401-011-0905-0.txt , 10.1158_2159-8290.CD-12-0313.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1016_S1534-5807(01)00009-0.txt , 10.1172_JCI85183.txt","10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1016_S1534-5807(01)00009-0.txt , 10.1172_JCI85183.txt","10.1016_S1534-5807(01)00009-0.txt , 10.1172_JCI85183.txt"
Christine Chaisson MacKenzie,[2015],,,,,,
Thomas De Raedt,"[2012, 2017]","10.1002_ajmg.a.36754.txt , 10.1016_j.ccr.2009.05.009.txt , 10.1158_1078-0432.CCR-13-0780.txt , 10.1002_ajmg.a.38239.txt",,,,,
Azar Omrani,[2012],,,,,,
Jonathan Payne,[2013],"10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.36338.txt",,,,,
Miriam Jane Smith,"[2013, 2016, 2015]",,,,,,
Dawn E Quelle,[2018],,,,,,
Nicolas-Xavier Bonne,[2012],10.1093_neuonc_not242.txt,,,,,
Gordon Harris,"[2015, 2018, 2016]","10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1158_1078-0432.CCR-08-3011.txt",10.1158_1078-0432.CCR-08-3011.txt,10.1158_1078-0432.CCR-08-3011.txt,,,
Florent Elefteriou,"[2009, 2015]","10.1016_j.cmet.2006.10.010.txt , 10.1002_jbmr.2316.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.bone.2014.06.012.txt , 10.1002_ajmg.a.33189.txt , 10.1038_nm.3583.txt , 10.1038_bjc.2016.354.txt , 10.1093_hmg_ddv019.txt , 10.1002_ajmg.a.37723.txt","10.1002_ajmg.a.33189.txt , 10.1038_nm.3583.txt , 10.1038_bjc.2016.354.txt , 10.1093_hmg_ddv019.txt , 10.1002_ajmg.a.37723.txt",,,,
Manuel Lopez Arnada,[2016],,,,,,
Kairong Li,[2015],10.1242_dmm.025783.txt,,,,,
Weixi Wang,[2009],"10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt",,,,,
Maryam Jahanshahi,[2012],"10.1371_journal.pone.0078880.txt , 10.1371_journal.pgen.1006198.txt",,,,,
Jessica Casaletto,[2008],"10.1146_annurev.pathol.2.010506.091940.txt , 10.1038_sj.bjc.6604002.txt",,,,,
David A Largaespada,"[2011, 2012, 2015, 2018]",10.1038_ng.2641.txt,10.1038_ng.2641.txt,,,,
Michael Brownstein,[2015],,,,,,
Angela Waanders,[2018],,,,,,
Matthew Wood,[2009],,,,,,
Susana Moleirnho,[2016],,,,,,
Ionica Masgras,[2018],,,,,,
A Thomas Look,"[2011, 2016]",,,,,,
Joshua Rubin,"[2007, 2009]",10.1093_neuonc_nor080.txt,,,,,
Cristina Fernandez-Valle,"[2008, 2012, 2014, 2017, 2017]","10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1523_JNEUROSCI.6207-11.2012.txt","10.1002_ajmg.a.36754.txt , 10.1523_JNEUROSCI.6207-11.2012.txt",,,,
Xu Jiajie,[2016],,,,,,
Abraham Jacob,[2008],"10.1093_neuonc_nor072.txt , 10.1158_0008-5472.CAN-12-1888.txt , 10.1002_ajmg.a.34359.txt , 10.1158_1078-0432.CCR-08-3011.txt",,,,,
Susan Lindquist,[2008],"10.1016_j.cell.2007.07.020.txt , 10.1172_JCI62727.txt",,,,,
David Little,[2012],,,,,,
Antonio Chiesi,"[2014, 2015]",,,,,,
Tao Sun,[2014],,,,,,
Filippo Giancotti,[2013],"10.1002_ajmg.a.38239.txt , 10.1007_s00401-011-0905-0.txt",,,,,
Geoffrey Kilili,[2009],"10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt",,,,,
Abhijit Guha,[2007],"10.1093_neuonc_nor080.txt , 10.1158_1078-0432.CCR-10-1551.txt , 10.1002_humu.22044.txt , 10.1111_j.1349-7006.2010.01616.x.txt",,,,,
Weidong Li,[2010],10.1016_j.cub.2005.09.043.txt,,,,,
Marco Giovannini,"[2011, 2010, 2010, 2013, 2017]","10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1128_MCB.00248-09.txt , 10.1093_neuonc_not242.txt , 10.1002_ajmg.a.34359.txt , 10.1038_ejhg.2014.220.txt , 10.1007_s11060-014-1710-0.txt , 10.1002_ajmg.a.35760.txt , 10.1002_ajmg.a.38239.txt , 10.1158_1078-0432.CCR-12-3167.txt , 10.1093_hmg_ddu414.txt , 10.1172_JCI60578.txt , 10.1038_s41467-017-00346-5.txt , 10.1101_gad.1054603.txt , 10.21236_ada546154.txt , 10.1158_1078-0432.CCR-08-3011.txt","10.1038_nn.3348.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1128_MCB.00248-09.txt , 10.1093_neuonc_not242.txt , 10.1002_ajmg.a.34359.txt , 10.1038_ejhg.2014.220.txt , 10.1007_s11060-014-1710-0.txt , 10.1002_ajmg.a.35760.txt , 10.1002_ajmg.a.38239.txt , 10.1158_1078-0432.CCR-12-3167.txt , 10.1093_hmg_ddu414.txt , 10.1172_JCI60578.txt , 10.1038_s41467-017-00346-5.txt , 10.1101_gad.1054603.txt , 10.21236_ada546154.txt , 10.1158_1078-0432.CCR-08-3011.txt","10.1038_nn.3348.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1128_MCB.00248-09.txt , 10.1093_neuonc_not242.txt , 10.1002_ajmg.a.34359.txt , 10.1038_ejhg.2014.220.txt , 10.1007_s11060-014-1710-0.txt , 10.1002_ajmg.a.35760.txt , 10.1002_ajmg.a.38239.txt , 10.1158_1078-0432.CCR-12-3167.txt , 10.1093_hmg_ddu414.txt , 10.1172_JCI60578.txt , 10.1038_s41467-017-00346-5.txt , 10.1101_gad.1054603.txt , 10.21236_ada546154.txt , 10.1158_1078-0432.CCR-08-3011.txt","10.1002_ajmg.a.34359.txt , 10.1038_ejhg.2014.220.txt , 10.1007_s11060-014-1710-0.txt , 10.1002_ajmg.a.35760.txt , 10.1002_ajmg.a.38239.txt , 10.1158_1078-0432.CCR-12-3167.txt , 10.1093_hmg_ddu414.txt , 10.1172_JCI60578.txt , 10.1038_s41467-017-00346-5.txt , 10.1101_gad.1054603.txt , 10.21236_ada546154.txt , 10.1158_1078-0432.CCR-08-3011.txt","10.21236_ada546154.txt , 10.1158_1078-0432.CCR-08-3011.txt",
Allen Belzberg,"[2011, 2015, 2018]",,,,,,
Ernesto Diaz-Flores,[2008],"10.1126_scisignal.2004125.txt , 10.1101_gad.1587907.txt",,,,,
Joanna Phillips,[2018],,,,,,
Brian Schmutzler,[2009],,,,,,
Christopher Maxwell,[2013],,,,,,
Tomoda Toshifumi,[2012],,,,,,
Amanda Bergner,[2014],"10.1007_s00401-011-0905-0.txt , 10.1038_ng.2855.txt , 10.1212_WNL.0000000000002927.txt",,,,,
Bradley Welling,[2017],10.1158_1078-0432.CCR-08-3011.txt,,,,,
David H Viskochil,[2019],,,,,,
Ting Su,[2015],"10.1056_NEJMoa1113538.txt , 10.1016_j.pain.2007.08.033.txt , 10.1038_cddis.2012.200.txt , 10.1101_gad.1054603.txt , 10.1371_journal.pgen.1006198.txt , 10.1016_j.mce.2011.07.039.txt , 10.1186_s13013-015-0041-z.txt , 10.1172_JCI62727.txt , 10.1146_annurev-pathol-011811-132441.txt , 10.2147_OTT.S34678.txt , 10.1097_MAO.0b013e31817f7398.txt , 10.1002_ajmg.a.33183.txt , 10.1158_1078-0432.CCR-08-3011.txt",,,,,
Jill Weimer,"[2018, 2018]",,,,,,
Betty M Tyler,[2012],,,,,,
Lu Zhou,[2015],10.1016_j.febslet.2012.03.016.txt,,,,,
Gareth Evans,[2010],"10.1212_WNL.0000000000002929.txt , 10.1136_jmg.2006.045906.txt , 10.1002_ajmg.a.36312.txt , 10.1186_2045-3329-2-17.txt , 10.1136_jmg.2010.081760.txt , 10.1002_ajmg.a.36754.txt , 10.1002_ajmg.a.34376.txt , 10.1212_WNL.0000000000002933.txt , 10.1002_ajmg.a.34359.txt , 10.1212_WNL.0000000000002932.txt , 10.1002_ajmg.a.35760.txt , 10.1002_ajmg.a.38239.txt , 10.1212_WNL.0000000000000997.txt , 10.1007_s10803-014-2321-5.txt , 10.1007_s00401-011-0905-0.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.36793.txt , 10.1002_path.4427.txt , 10.1212_WNL.0000000000001129.txt , 10.1158_1078-0432.CCR-08-3011.txt",,,,,
Charles Yates,[2014],,,,,,
Annabel Parret,[2010],"10.1001_jama.2009.1663.txt , 10.1016_j.ccr.2009.05.009.txt",,,,,
Cynthia M Hingtgen,[2012],10.1016_S1470-2045(12)70414-X.txt,,,,,
Chengkai Dai,[2008],"10.1016_j.cell.2007.07.020.txt , 10.1172_JCI62727.txt",,,,,
Liao Chung-Ping,[2016],,,,,,
Sherry K Phillips,[2012],,,,,,
John Elliott Robinson,[2018],,,,,,
Jim Gusella,[2017],,,,,,
Bradley D Welling,[2013],,,,,,
Stephanie Joy Bouley,[2018],,,,,,
Long-Sheng Chang,[2017],,,,,,
Matthew Karolak,[2015],,,,,,
Gerald Sun,[2014],,,,,,
Shuning He,[2015],,,,,,
Ana Olivera,[2011],,,,,,
Mateusz Kolanczyk,[2009],"10.1186_1741-7015-9-82.txt , 10.1016_j.bone.2014.06.012.txt , 10.1186_1471-2474-11-105.txt",,,,,
Frances Hannan,[2008],"10.1038_35002593.txt , 10.1038_35002593.txt",,,,,
William Guerrant,[2015],,,,,,
Vanessa Leigh Merker,[2017],,,,,,
David Meyerholz,[2018],,,,,,
Claire Malone,[2016],,,,,,
Mariska Van Lier,[2016],,,,,,
Kate Quinlan,[2014],,,,,,
Richard Hugh Frost Bender,[2014],,,,,,
Jianzhong Yu,[2013],,,,,,
Cory Johannessen,[2008],,,,,,
Wei Mo,[2015],,,,,,
Karin Walsh,"[2014, 2019]","10.1212_WNL.0000000000002927.txt , 10.1002_ajmg.a.37723.txt",,,,,
AeRang Kim,[2017],,,,,,
Michael Bownstein,[2013],,,,,,
Jeffrey Field,"[2016, 2017]",,,,,,
Amish Patel,[2014],,,,,,
Justin Guinney,[2017],,,,,,
Gena Heidary,[2019],,,,,,
Maria Bernard,[2008],,,,,,
Gregory Riggins,[2015],,,,,,
Larry Sherman,"[2011, 2012]","10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1158_0008-5472.CAN-09-0143.txt , 10.1002_ajmg.a.38239.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt","10.1002_ajmg.a.36754.txt , 10.1158_0008-5472.CAN-09-0143.txt , 10.1002_ajmg.a.38239.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt",,,,
Timmy Mani,[2010],10.1128_MCB.00248-09.txt,,,,,
Nicole Johnson Ullrich,"[2012, 2014]",,,,,,
Christine Kivlin,[2015],,,,,,
Harry T Whelan,[2014],,,,,,
Eric Legius,[2014],"10.1007_s10803-014-2321-5.txt , 10.1002_ajmg.a.35535.txt , 10.1186_gb-2014-15-6-r80.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.36793.txt , 10.1002_humu.22832.txt , 10.1371_journal.pgen.1003958.txt , 10.1002_ajmg.a.33183.txt , 10.1172_JCI85183.txt",,,,,
Robert Allaway,"[2016, 2018]",,,,,,
Michael J Fisher,"[2013, 2020, 2018]",,,,,,
Steven Carroll,"[2015, 2015]",,,,,,
Kevin M Shannon,"[2010, 2011, 2013, 2014, 2015, 2016, 2017]",,,,,,
Benjamin Braun,[2013],,,,,,
Jeong-Soo Lee,[2008],"10.1073_pnas.0901932106.txt , 10.1016_j.ccr.2012.02.010.txt , 10.1242_dmm.009779.txt",,,,,
Marianne James,[2010],10.1186_1755-8794-2-42.txt,,,,,
Bruce Korf,"[2016, 2017]","10.1002_humu.22832.txt , 10.1002_ajmg.a.37723.txt , 10.1158_1078-0432.CCR-08-3011.txt","10.1002_ajmg.a.37723.txt , 10.1158_1078-0432.CCR-08-3011.txt",,,,
David H Gutmann,"[2011, 2018]","10.1586_14737140.7.11.1581.txt , 10.1038_sj.onc.1202829.txt",,,,,
Jaishri Blakeley,"[2010, 2017]","10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.34359.txt , 10.1002_ajmg.a.38239.txt , 10.1212_WNL.0000000000000997.txt , 10.1007_s00401-011-0905-0.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1097_MOO.0b013e328357d2ee.txt , 10.1158_1078-0432.CCR-08-3011.txt",10.1158_1078-0432.CCR-08-3011.txt,,,,
Helen Morrison,[2017],10.1186_s40478-014-0082-1.txt,,,,,
Gary Johnson,[2017],,,,,,
Jean-Philippe Brosseau,[2018],,,,,,
Sutapa Banjeree,[2010],,,,,,
Lei Xu,"[2014, 2014, 2016]","10.1073_pnas.1525349113.txt , 10.1593_neo.111600.txt","10.1073_pnas.1525349113.txt , 10.1593_neo.111600.txt",,,,
Ana-Maria Vranceanu,"[2015, 2016, 2018]",10.1212_WNL.0000000000002927.txt,,,,,
Rebecca Lock,[2014],10.1172_JCI85183.txt,,,,,
Benjamin Darbro,[2018],,,,,,
Wei Li,[2011],"10.1002_ajmg.a.36312.txt , 10.1016_j.ccr.2014.05.001.txt , 10.1007_s00401-011-0905-0.txt",,,,,
Jean Gouzi,[2012],,,,,,
Arkadiusz Piatrowski,[2011],,,,,,
Jean Nakamura,[2014],,,,,,
Stefan Mundlos,[2007],"10.1186_1741-7015-9-82.txt , 10.1016_j.bone.2014.06.012.txt",,,,,
Jody Fromm,[2011],10.1016_j.ajpath.2015.10.023.txt,,,,,
Adrienne Watson,[2013],,,,,,
Wade Clapp,"[2013, 2014, 2015, 2017, 2015]","10.1016_j.cell.2008.08.041.txt , 10.1016_S1470-2045(12)70414-X.txt , 10.1002_ajmg.a.38239.txt , 10.1007_s12307-012-0115-x.txt , 10.1093_hmg_ddu414.txt , 10.1007_s00401-011-0905-0.txt , 10.1038_nn.3822.txt , 10.1146_annurev-pathol-011811-132441.txt","10.1007_s12307-012-0115-x.txt , 10.1093_hmg_ddu414.txt , 10.1007_s00401-011-0905-0.txt , 10.1038_nn.3822.txt , 10.1146_annurev-pathol-011811-132441.txt","10.1038_nn.3822.txt , 10.1146_annurev-pathol-011811-132441.txt",,"10.1038_nn.3822.txt , 10.1146_annurev-pathol-011811-132441.txt",
Alexander Schulz,"[2014, 2016]",10.1186_s40478-014-0082-1.txt,10.1186_s40478-014-0082-1.txt,,,,
Sheila Alcantara Llaguno,[2009],10.1016_j.ccr.2008.12.006.txt,,,,,
Mark Philips,[2010],,,,,,
Alejandra M Petrilli Guinart,[2013],,,,,,
Georgette Jones,[2008],,,,,,
Yuan Wang,[2014],,,,,,
Matthias Karajannis,[2012],"10.1002_ajmg.a.36754.txt , 10.1007_s00401-011-0905-0.txt , 10.1158_1078-0432.CCR-08-3011.txt",,,,,
Ludwine Messiaen,[2017],,,,,,
Steven D Rhodes,[2013],"10.1002_jbmr.2538.txt , 10.1002_jbmr.1992.txt",,,,,
Steven Lewis Carroll,[2016],,,,,,
Linnea Vose,[2010],"10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt",,,,,
Lei Xing,[2017],,,,,,
Michel Kalamarides,[2011],"10.1002_ajmg.a.36754.txt , 10.1093_neuonc_not242.txt , 10.1002_ajmg.a.34359.txt , 10.1007_s11060-014-1710-0.txt , 10.1007_s00401-011-0905-0.txt , 10.1038_s41467-017-00346-5.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1158_1078-0432.CCR-08-3011.txt",,,,,
Jessica C Sieren,[2018],,,,,,
Anat Stemmer-Rachamimov,"[2013, 2015]","10.1186_1755-8794-2-42.txt , 10.1002_ajmg.a.38239.txt , 10.1093_hmg_ddu414.txt , 10.1007_s00401-011-0905-0.txt , 10.1038_s41467-017-00346-5.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.18632_oncotarget.4858.txt","10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.18632_oncotarget.4858.txt",,,,
David F Wiemer,[2012],,,,,,
Timothy P Cripe,"[2011, 2013]",,,,,,
Kathryn North,[2014],"10.1136_jmg.37.12.933.txt , 10.1007_s00401-011-0905-0.txt , 10.1002_ajmg.a.35535.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1093_neuonc_nos076.txt , 10.1136_jnnp.2006.108134.txt",,,,,
Seyedmohammad Ebrahim Tahaei,[2017],,,,,,
Lai Man Natalie Wu,[2019],,,,,,

