researcher name,grant start years,paper1,paper2,paper3,paper4,paper5,paper6
Marco Giovannini,"[2008, 2009, 2009, 2012, 2016]","10.1016_j.mrfmmm.2007.07.015.txt , 10.1158_1078-0432.CCR-08-3011.txt , 10.1101_gad.1938710.txt , 10.1016_j.cell.2010.01.029.txt , 10.1128_MCB.00248-09.txt , 10.21236_ada546154.txt , 10.1016_j.cell.2010.01.029.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1093_neuonc_nor080.txt , 10.1093_neuonc_nor072.txt , 10.1128_MCB.00609-10.txt , 10.1002_ajmg.a.34359.txt , 10.1038_nn.3348.txt , 10.1002_ajmg.a.35760.txt , 10.1158_1078-0432.CCR-12-3167.txt , 10.1172_JCI60578.txt , 10.1093_brain_awt327.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1093_neuonc_not242.txt , 10.1038_ejhg.2014.220.txt , 10.1007_s11060-014-1710-0.txt , 10.1093_hmg_ddu414.txt , 10.1007_s11060-016-2150-9.txt , 10.1002_ajmg.a.38239.txt , 10.1038_s41467-017-00346-5.txt","10.1158_1078-0432.CCR-08-3011.txt , 10.1101_gad.1938710.txt , 10.1016_j.cell.2010.01.029.txt , 10.1128_MCB.00248-09.txt , 10.21236_ada546154.txt , 10.1016_j.cell.2010.01.029.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1093_neuonc_nor080.txt , 10.1093_neuonc_nor072.txt , 10.1128_MCB.00609-10.txt , 10.1002_ajmg.a.34359.txt , 10.1038_nn.3348.txt , 10.1002_ajmg.a.35760.txt , 10.1158_1078-0432.CCR-12-3167.txt , 10.1172_JCI60578.txt , 10.1093_brain_awt327.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1093_neuonc_not242.txt , 10.1038_ejhg.2014.220.txt , 10.1007_s11060-014-1710-0.txt , 10.1093_hmg_ddu414.txt , 10.1007_s11060-016-2150-9.txt , 10.1002_ajmg.a.38239.txt , 10.1038_s41467-017-00346-5.txt","10.1158_1078-0432.CCR-08-3011.txt , 10.1101_gad.1938710.txt , 10.1016_j.cell.2010.01.029.txt , 10.1128_MCB.00248-09.txt , 10.21236_ada546154.txt , 10.1016_j.cell.2010.01.029.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1093_neuonc_nor080.txt , 10.1093_neuonc_nor072.txt , 10.1128_MCB.00609-10.txt , 10.1002_ajmg.a.34359.txt , 10.1038_nn.3348.txt , 10.1002_ajmg.a.35760.txt , 10.1158_1078-0432.CCR-12-3167.txt , 10.1172_JCI60578.txt , 10.1093_brain_awt327.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1093_neuonc_not242.txt , 10.1038_ejhg.2014.220.txt , 10.1007_s11060-014-1710-0.txt , 10.1093_hmg_ddu414.txt , 10.1007_s11060-016-2150-9.txt , 10.1002_ajmg.a.38239.txt , 10.1038_s41467-017-00346-5.txt","10.1002_ajmg.a.34359.txt , 10.1038_nn.3348.txt , 10.1002_ajmg.a.35760.txt , 10.1158_1078-0432.CCR-12-3167.txt , 10.1172_JCI60578.txt , 10.1093_brain_awt327.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1093_neuonc_not242.txt , 10.1038_ejhg.2014.220.txt , 10.1007_s11060-014-1710-0.txt , 10.1093_hmg_ddu414.txt , 10.1007_s11060-016-2150-9.txt , 10.1002_ajmg.a.38239.txt , 10.1038_s41467-017-00346-5.txt","10.1007_s11060-016-2150-9.txt , 10.1002_ajmg.a.38239.txt , 10.1038_s41467-017-00346-5.txt",
Vanessa Leigh Merker,[2015],,,,,,
Mariska Van Lier,[2014],,,,,,
Azar Omrani,[2010],,,,,,
Thomas De Raedt,"[2010, 2016]","10.1016_j.ccr.2011.08.014.txt , 10.1002_gcc.20921.txt , 10.1038_nature13561.txt , 10.1002_ajmg.a.36754.txt , 10.1158_1078-0432.CCR-13-0780.txt , 10.1002_ajmg.a.38239.txt",10.1002_ajmg.a.38239.txt,,,,
Karin Walsh,"[2013, 2017]","10.1002_ajmg.a.36754.txt , 10.1212_WNL.0000000000002928.txt , 10.1212_WNL.0000000000002927.txt , 10.1002_ajmg.a.37723.txt",,,,,
Nicolas-Xavier Bonne,[2010],"10.1093_neuonc_not242.txt , 10.1007_s11060-016-2150-9.txt",,,,,
Gerald Sun,[2012],,,,,,
Adrienne Watson,[2011],"10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt",,,,,
Florent Elefteriou,"[2008, 2014]","10.1002_ajmg.a.33045.txt , 10.1002_ajmg.a.33189.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.bone.2014.06.012.txt , 10.1038_nm.3583.txt , 10.1002_jbmr.2316.txt , 10.1093_hmg_ddv019.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.37723.txt","10.1002_ajmg.a.36312.txt , 10.1016_j.bone.2014.06.012.txt , 10.1038_nm.3583.txt , 10.1002_jbmr.2316.txt , 10.1093_hmg_ddv019.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.37723.txt",,,,
Claire Malone,[2014],,,,,,
Okay Saydam,[2007],"10.1128_MCB.00332-09.txt , 10.1158_0008-5472.CAN-10-1219.txt , 10.18632_oncotarget.251.txt , 10.1089_hum.2012.094.txt",,,,,
Alejandra M Petrilli Guinart,[2011],,,,,,
Alberto Pasqual-Montano,[2013],,,,,,
Susana Moleirnho,[2014],,,,,,
David Little,[2011],10.1002_ajmg.a.36312.txt,,,,,
Kathryn North,[2013],"10.1002_ajmg.a.36312.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.38239.txt",,,,,
Ana-Maria Vranceanu,"[2013, 2014, 2016]","10.1007_s11060-014-1522-2.txt , 10.1212_WNL.0000000000002927.txt","10.1007_s11060-014-1522-2.txt , 10.1212_WNL.0000000000002927.txt",10.1212_WNL.0000000000002927.txt,,,
Lei Xing,[2015],10.7554_eLife.11123.txt,,,,,
Benjamin Darbro,[2015],,,,,,
Johanna Buchstaller,[2008],"10.1016_j.ccr.2008.01.003.txt , 10.1002_ajmg.a.33189.txt , 10.1016_j.ccr.2011.12.027.txt , 10.1038_bjc.2016.354.txt",,,,,
Rebecca Lock,[2012],10.1172_JCI85183.txt,,,,,
Bradley D Welling,[2011],,,,,,
Seyedmohammad Ebrahim Tahaei,[2015],,,,,,
Sybil Williams,[2007],,,,,,
Maria Bernard,[2007],,,,,,
Jaishri Blakeley,"[2009, 2014]","10.1158_1078-0432.CCR-08-3011.txt , 10.1002_ajmg.a.33189.txt , 10.1002_ajmg.a.34359.txt , 10.1007_s00401-011-0905-0.txt , 10.1097_MOO.0b013e328357d2ee.txt , 10.1002_ajmg.a.36312.txt , 10.1212_WNL.0000000000000997.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.38239.txt","10.1002_ajmg.a.36312.txt , 10.1212_WNL.0000000000000997.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.38239.txt",,,,
Miriam Jane Smith,"[2011, 2014, 2014]",,,,,,
Jan M Friedman,[2011],10.1186_1750-1172-7-75.txt,,,,,
Andrea McClatchey,"[2007, 2008, 2009, 2012, 2014, 2015]","10.1016_j.cub.2007.11.066.txt , 10.1158_1078-0432.CCR-08-3011.txt , 10.1002_ajmg.a.33189.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_bjc.2016.354.txt","10.1016_j.cub.2007.11.066.txt , 10.1158_1078-0432.CCR-08-3011.txt , 10.1002_ajmg.a.33189.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_bjc.2016.354.txt","10.1158_1078-0432.CCR-08-3011.txt , 10.1002_ajmg.a.33189.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_bjc.2016.354.txt","10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_bjc.2016.354.txt","10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_bjc.2016.354.txt",10.1038_bjc.2016.354.txt
Amanda Bergner,[2012],"10.1007_s00401-011-0905-0.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_ng.2855.txt , 10.1212_WNL.0000000000002927.txt",,,,,
Eric Legius,[2013],"10.1371_journal.pgen.1003958.txt , 10.1038_nature13561.txt , 10.1002_ajmg.a.36312.txt , 10.1186_gb-2014-15-6-r80.txt , 10.1007_s10803-014-2321-5.txt , 10.1002_ajmg.a.36793.txt , 10.1002_humu.22832.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ajhg.2017.12.001.txt",,,,,
Betty M Tyler,[2011],,,,,,
Christine Chaisson MacKenzie,[2013],,,,,,
David Wiemer,"[2007, 2008]",,,,,,
John Elliott Robinson,[2016],,,,,,
Jonathan Chernoff,"[2007, 2009, 2011]","10.1074_jbc.M113.510933.txt , 10.1038_onc.2012.374.txt , 10.18632_oncotarget.2810.txt , 10.1128_MCB.00630-15.txt , 10.1016_j.biochi.2017.01.001.txt","10.1074_jbc.M113.510933.txt , 10.1038_onc.2012.374.txt , 10.18632_oncotarget.2810.txt , 10.1128_MCB.00630-15.txt , 10.1016_j.biochi.2017.01.001.txt","10.1074_jbc.M113.510933.txt , 10.1038_onc.2012.374.txt , 10.18632_oncotarget.2810.txt , 10.1128_MCB.00630-15.txt , 10.1016_j.biochi.2017.01.001.txt",,,
Michel Kalamarides,[2010],"10.1002_ajmg.a.33189.txt , 10.1002_ajmg.a.34359.txt , 10.1007_s00401-011-0905-0.txt , 10.1002_ajmg.a.36754.txt , 10.1093_neuonc_not242.txt , 10.1007_s11060-014-1710-0.txt , 10.1038_bjc.2016.354.txt , 10.1038_s41467-017-00346-5.txt",,,,,
Oliver Hanemann,[2007],"10.1158_0008-5472.CAN-07-5849.txt , 10.1016_j.cell.2010.01.029.txt , 10.1093_neuonc_noq012.txt , 10.1002_ajmg.a.33189.txt , 10.1016_j.cell.2010.01.029.txt , 10.1593_neo.111060.txt , 10.1002_ajmg.a.34359.txt , 10.1007_s00401-011-0905-0.txt , 10.1016_j.febslet.2012.03.016.txt , 10.1038_nn.3348.txt , 10.1002_ajmg.a.35760.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.ccr.2014.05.001.txt , 10.1002_ajmg.a.36793.txt , 10.1212_WNL.0000000000002932.txt , 10.1038_bjc.2016.354.txt",,,,,
Susan Lindquist,[2007],"10.1016_j.cell.2007.07.020.txt , 10.1172_JCI62727.txt",,,,,
Michael Bownstein,[2012],,,,,,
Christine Kivlin,[2013],,,,,,
Stefan M. Pfister,[2015],,,,,,
Kairong Li,[2013],"10.1242_dmm.025783.txt , 10.1002_ajmg.a.38239.txt",,,,,
Jody Fromm,[2009],"10.1136_jmg.37.12.933.txt , 10.1007_s00401-011-0905-0.txt , 10.1002_ajmg.a.35535.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1093_neuonc_nos076.txt , 10.1136_jnnp.2006.108134.txt , 10.1016_j.cell.2007.07.020.txt , 10.1172_JCI62727.txt , 10.7554_eLife.05151.txt , 10.1002_ajmg.a.36754.txt , 10.1016_j.ajpath.2015.10.023.txt",,,,,
