grant number,researcher,grant start year,paper ID
2014B-05-025,Florent Elefteriou, 2014,"10.1002_ajmg.a.36312.txt , 10.1016_j.bone.2014.06.012.txt , 10.1038_nm.3583.txt , 10.1002_jbmr.2316.txt , 10.1093_hmg_ddv019.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.37723.txt"
2007-05-D,Frances Hannan,2007,
2009-02-001,Gareth Evans,2009,"10.1158_1078-0432.CCR-08-3011.txt , 10.1002_ajmg.a.33189.txt , 10.1136_jmg.2010.081760.txt , 10.1186_2045-3329-2-17.txt , 10.1002_ajmg.a.34376.txt , 10.1002_ajmg.a.34359.txt , 10.1007_s00401-011-0905-0.txt , 10.1038_ng.2552.txt , 10.1002_ajmg.a.35760.txt , 10.18632_oncotarget.1609.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1212_WNL.0000000000000997.txt , 10.1002_path.4427.txt , 10.1007_s10803-014-2321-5.txt , 10.1002_ajmg.a.36793.txt , 10.1212_WNL.0000000000002929.txt , 10.1212_WNL.0000000000002933.txt , 10.1212_WNL.0000000000002932.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.38239.txt"
2014-18-001A,Gary Johnson,2014,
2015-10-002,Gena Heidary,2017,
2007-01-E,Geoffrey Kilili,2007,"10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt"
2006-01-E,Georgette Jones,2006,
2012-01-029,Gerald Sun,2012,
2010-04-001,Gordon Harris,2011,"10.1002_ajmg.a.34359.txt , 10.1038_bjc.2016.354.txt"
2015-04-001,Gordon Harris, 2015,10.1038_bjc.2016.354.txt
2015-04-002,Gordon Harris, 2015,10.1038_bjc.2016.354.txt
2014A-05-024,Gregory Riggins,2014,
2013-04-004,Harry T Whelan,2013,
2014-18-001G,Helen Morrison,2014,"10.1093_brain_awt327.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1186_s40478-014-0082-1.txt , 10.1083_jcb.201503081.txt , 10.1007_s00401-016-1583-8.txt , 10.1371_journal.pone.0159718.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.38239.txt"
2008-01-D,Huarui Zheng,2008,10.1016_j.ccr.2008.01.002.txt
2016-01-010,Ionica Masgras,2016,10.3389_fonc.2017.00058.txt
2008-10-001,Jaishri Blakeley,2009,"10.1158_1078-0432.CCR-08-3011.txt , 10.1002_ajmg.a.33189.txt , 10.1002_ajmg.a.34359.txt , 10.1007_s00401-011-0905-0.txt , 10.1097_MOO.0b013e328357d2ee.txt , 10.1002_ajmg.a.36312.txt , 10.1212_WNL.0000000000000997.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.38239.txt"
2014-18-001C,Jaishri Blakeley, 2014,"10.1002_ajmg.a.36312.txt , 10.1212_WNL.0000000000000997.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.38239.txt"
2011A-05-002,Jan M Friedman,2011,10.1186_1750-1172-7-75.txt
2012-01-028,Jean De la Croix Ndong,2012,"10.1038_nm.3583.txt , 10.1002_jbmr.2316.txt"
2010-01-035,Jean Gouzi,2010,
2013A-05-005,Jean Nakamura,2013,
2016-01-008,Jean-Philippe Brosseau,2016,
2012-01-013,Jeff Gehlhausen,2012,10.1002_ajmg.a.36312.txt
2015-05-006,Jeffrey Field,2015,
2016A-05-003,Jeffrey Field, 2016,
2006-01-G,Jeong-Soo Lee,2006,"10.1073_pnas.0901932106.txt , 10.1016_j.ccr.2012.02.010.txt , 10.1242_dmm.009779.txt"
2015-18-002C,Jessica C Sieren,2015,
2006-01-A,Jessica Casaletto,2006,"10.1146_annurev.pathol.2.010506.091940.txt , 10.1038_sj.bjc.6604002.txt"
2011-01-008,Jianzhong Yu,2011,10.1016_j.str.2013.07.008.txt
2015-04-009B,Jill Weimer,2015,
2015-18-002A,Jill Weimer, 2015,
2014-18-001B,Jim Gusella,2014,
2015-18-004E,Joanna Phillips,2015,
2009-01-008,Jody Fromm,2009,10.1016_j.ajpath.2015.10.023.txt
2008-01-E,Johanna Buchstaller,2008,"10.1016_j.ccr.2008.01.003.txt , 10.1002_ajmg.a.33189.txt , 10.1016_j.ccr.2011.12.027.txt , 10.1038_bjc.2016.354.txt"
2016-01-006,John Elliott Robinson,2016,
2007-05-A,Jonathan Chernoff,2007,"10.1074_jbc.M113.510933.txt , 10.1038_onc.2012.374.txt , 10.18632_oncotarget.2810.txt , 10.1128_MCB.00630-15.txt , 10.1016_j.biochi.2017.01.001.txt"
2009A-05-002,Jonathan Chernoff, 2009,"10.1074_jbc.M113.510933.txt , 10.1038_onc.2012.374.txt , 10.18632_oncotarget.2810.txt , 10.1128_MCB.00630-15.txt , 10.1016_j.biochi.2017.01.001.txt"
2011-15-012,Jonathan Chernoff, 2011,"10.1074_jbc.M113.510933.txt , 10.1038_onc.2012.374.txt , 10.18632_oncotarget.2810.txt , 10.1128_MCB.00630-15.txt , 10.1016_j.biochi.2017.01.001.txt"
2011-01-009,Jonathan Payne,2011,"10.1002_ajmg.a.36338.txt , 10.1212_WNL.0000000000002928.txt , 10.1038_bjc.2016.354.txt"
2009A-05-005,Joseph Kissil,2009,"10.1002_ajmg.a.33189.txt , 10.1007_s00401-011-0905-0.txt , 10.1038_bjc.2016.354.txt , 10.18632_oncotarget.4858.txt"
2012-04-001,Joseph Kissil, 2012,"10.1007_s00401-011-0905-0.txt , 10.1038_bjc.2016.354.txt , 10.18632_oncotarget.4858.txt"
2015B-05-007,Joseph Kissil, 2015,"10.1038_bjc.2016.354.txt , 10.18632_oncotarget.4858.txt"
2006-05-E,Joshua Rubin,2006,10.1093_neuonc_nor080.txt
2008-05-G,Joshua Rubin, 2008,10.1093_neuonc_nor080.txt
2014-04-008,Justin Guinney,2014,
2013-01-029,Kairong Li,2013,"10.1242_dmm.025783.txt , 10.1002_ajmg.a.38239.txt"
2006-05-A,Karen Cichowski,2006,"10.1016_j.cub.2007.11.066.txt , 10.1016_j.ccr.2009.05.009.txt , 10.1002_ajmg.a.33189.txt , 10.1016_j.ccr.2011.08.014.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1002_gcc.20921.txt , 10.1101_gad.190876.112.txt , 10.1007_s00401-011-0905-0.txt , 10.1158_2159-8290.CD-13-0146.txt , 10.1158_2159-8290.CD-12-0313.txt , 10.1038_nature13561.txt , 10.1158_0008-5472.CAN-13-1934.txt , 10.1158_2159-8290.CD-14-0286.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.celrep.2013.12.001.txt , 10.1002_pbc.25546.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt"
2008-15-A,Karen Cichowski, 2008,"10.1016_j.cub.2007.11.066.txt , 10.1016_j.ccr.2009.05.009.txt , 10.1002_ajmg.a.33189.txt , 10.1016_j.ccr.2011.08.014.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1002_gcc.20921.txt , 10.1101_gad.190876.112.txt , 10.1007_s00401-011-0905-0.txt , 10.1158_2159-8290.CD-13-0146.txt , 10.1158_2159-8290.CD-12-0313.txt , 10.1038_nature13561.txt , 10.1158_0008-5472.CAN-13-1934.txt , 10.1158_2159-8290.CD-14-0286.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.celrep.2013.12.001.txt , 10.1002_pbc.25546.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt"
2011-15-004,Karen Cichowski, 2011,"10.1016_j.ccr.2011.08.014.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1002_gcc.20921.txt , 10.1101_gad.190876.112.txt , 10.1007_s00401-011-0905-0.txt , 10.1158_2159-8290.CD-13-0146.txt , 10.1158_2159-8290.CD-12-0313.txt , 10.1038_nature13561.txt , 10.1158_0008-5472.CAN-13-1934.txt , 10.1158_2159-8290.CD-14-0286.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.celrep.2013.12.001.txt , 10.1002_pbc.25546.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt"
2013-17-004,Karen Cichowski, 2013,"10.1158_2159-8290.CD-13-0146.txt , 10.1158_2159-8290.CD-12-0313.txt , 10.1038_nature13561.txt , 10.1158_0008-5472.CAN-13-1934.txt , 10.1158_2159-8290.CD-14-0286.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.celrep.2013.12.001.txt , 10.1002_pbc.25546.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt"
2014-17-005,Karen Cichowski, 2014,"10.1038_nature13561.txt , 10.1158_0008-5472.CAN-13-1934.txt , 10.1158_2159-8290.CD-14-0286.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.celrep.2013.12.001.txt , 10.1002_pbc.25546.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt"
2015-17-005,Karen Cichowski, 2015,"10.1002_pbc.25546.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt"
2013-10-005,Karin Walsh,2013,"10.1002_ajmg.a.36754.txt , 10.1212_WNL.0000000000002928.txt , 10.1212_WNL.0000000000002927.txt , 10.1002_ajmg.a.37723.txt"
2016-10-001,Karin Walsh, 2017,
2013B-05-009,Kate Quinlan,2013,10.1002_ajmg.a.36754.txt
2012-10-003,Kathryn North,2013,"10.1002_ajmg.a.36312.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.38239.txt"
2008-01-I,Kevin M Shannon,2008,
2008-15-F,Kevin M Shannon, 2008,
2011-15-008,Kevin M Shannon, 2011,
2013-17-001,Kevin M Shannon, 2013,
2014-17-002,Kevin M Shannon, 2014,
2015-17-002,Kevin M Shannon, 2015,
,Kevin M Shannon, 2016,2008-01-I
2008-10-004,Kim AeRang,2009,
2014-01-013,Krishna Chinthalapudi,2014,
2017-01-021,Kyle Brandon Williams,2017,
2017-01-014,Lai Man Natalie Wu,2017,10.1016_j.ccell.2018.01.005.txt
2009B-05-005,Larry Sherman,2009,"10.1158_0008-5472.CAN-09-0143.txt , 10.1002_ajmg.a.33189.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.38239.txt"
2011-02-006,Larry Sherman, 2011,"10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.38239.txt"
2011-02-004,Laura Papi,2011,"10.1002_ajmg.a.35760.txt , 10.1002_ajmg.a.36312.txt , 10.1038_ejhg.2014.220.txt"
2007-01-A,Lee Da Young,2007,
2015-01-013,Lei Xing,2015,10.7554_eLife.11123.txt
2012-10-006,Lei Xu,2013,"10.1002_ajmg.a.36754.txt , 10.1073_pnas.1424563112.txt , 10.1073_pnas.1512570112.txt , 10.1073_pnas.1525349113.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.expneurol.2017.09.008.txt"
2013A-05-006,Lei Xu, 2013,"10.1002_ajmg.a.36754.txt , 10.1073_pnas.1424563112.txt , 10.1073_pnas.1512570112.txt , 10.1073_pnas.1525349113.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.expneurol.2017.09.008.txt"
2015-05-008,Lei Xu, 2015,"10.1073_pnas.1424563112.txt , 10.1073_pnas.1512570112.txt , 10.1073_pnas.1525349113.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.expneurol.2017.09.008.txt"
2014-01-006,Liao Chung-Ping,2014,
2008-01-G,Linnea Vose,2008,"10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt"
2014-18-001H,Long-Sheng Chang,2014,10.1093_neuonc_now032.txt
2013-01-014,Lu Zhou,2013,10.1016_j.ccr.2014.05.001.txt
2013-04-006,Ludwine Messiaen,2014,"10.1002_ajmg.a.36754.txt , 10.1186_gb-2014-15-6-r80.txt , 10.1002_ajmg.a.37089.txt , 10.1002_humu.22832.txt , 10.1038_bjc.2016.354.txt , 10.1111_bjd.14873.txt"
2014-01-014,Manuel Lopez Arnada,2014,
2008-15-C,Marco Giovannini,2008,"10.1016_j.mrfmmm.2007.07.015.txt , 10.1158_1078-0432.CCR-08-3011.txt , 10.1101_gad.1938710.txt , 10.1016_j.cell.2010.01.029.txt , 10.1128_MCB.00248-09.txt , 10.21236_ada546154.txt , 10.1016_j.cell.2010.01.029.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1093_neuonc_nor080.txt , 10.1093_neuonc_nor072.txt , 10.1128_MCB.00609-10.txt , 10.1002_ajmg.a.34359.txt , 10.1038_nn.3348.txt , 10.1002_ajmg.a.35760.txt , 10.1158_1078-0432.CCR-12-3167.txt , 10.1172_JCI60578.txt , 10.1093_brain_awt327.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1093_neuonc_not242.txt , 10.1038_ejhg.2014.220.txt , 10.1007_s11060-014-1710-0.txt , 10.1093_hmg_ddu414.txt , 10.1007_s11060-016-2150-9.txt , 10.1002_ajmg.a.38239.txt , 10.1038_s41467-017-00346-5.txt"
2009A-05-004,Marco Giovannini, 2009,"10.1158_1078-0432.CCR-08-3011.txt , 10.1101_gad.1938710.txt , 10.1016_j.cell.2010.01.029.txt , 10.1128_MCB.00248-09.txt , 10.21236_ada546154.txt , 10.1016_j.cell.2010.01.029.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1093_neuonc_nor080.txt , 10.1093_neuonc_nor072.txt , 10.1128_MCB.00609-10.txt , 10.1002_ajmg.a.34359.txt , 10.1038_nn.3348.txt , 10.1002_ajmg.a.35760.txt , 10.1158_1078-0432.CCR-12-3167.txt , 10.1172_JCI60578.txt , 10.1093_brain_awt327.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1093_neuonc_not242.txt , 10.1038_ejhg.2014.220.txt , 10.1007_s11060-014-1710-0.txt , 10.1093_hmg_ddu414.txt , 10.1007_s11060-016-2150-9.txt , 10.1002_ajmg.a.38239.txt , 10.1038_s41467-017-00346-5.txt"
2009B-05-002,Marco Giovannini, 2009,"10.1158_1078-0432.CCR-08-3011.txt , 10.1101_gad.1938710.txt , 10.1016_j.cell.2010.01.029.txt , 10.1128_MCB.00248-09.txt , 10.21236_ada546154.txt , 10.1016_j.cell.2010.01.029.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1093_neuonc_nor080.txt , 10.1093_neuonc_nor072.txt , 10.1128_MCB.00609-10.txt , 10.1002_ajmg.a.34359.txt , 10.1038_nn.3348.txt , 10.1002_ajmg.a.35760.txt , 10.1158_1078-0432.CCR-12-3167.txt , 10.1172_JCI60578.txt , 10.1093_brain_awt327.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1093_neuonc_not242.txt , 10.1038_ejhg.2014.220.txt , 10.1007_s11060-014-1710-0.txt , 10.1093_hmg_ddu414.txt , 10.1007_s11060-016-2150-9.txt , 10.1002_ajmg.a.38239.txt , 10.1038_s41467-017-00346-5.txt"
2011-02-010,Marco Giovannini, 2012,"10.1002_ajmg.a.34359.txt , 10.1038_nn.3348.txt , 10.1002_ajmg.a.35760.txt , 10.1158_1078-0432.CCR-12-3167.txt , 10.1172_JCI60578.txt , 10.1093_brain_awt327.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1093_neuonc_not242.txt , 10.1038_ejhg.2014.220.txt , 10.1007_s11060-014-1710-0.txt , 10.1093_hmg_ddu414.txt , 10.1007_s11060-016-2150-9.txt , 10.1002_ajmg.a.38239.txt , 10.1038_s41467-017-00346-5.txt"
2016A-05-011,Marco Giovannini, 2016,"10.1007_s11060-016-2150-9.txt , 10.1002_ajmg.a.38239.txt , 10.1038_s41467-017-00346-5.txt"
2008-05-B,Margaret Wallace,2008,"10.4161_cbt.10.8.12878.txt , 10.1111_j.1349-7006.2010.01616.x.txt , 10.1038_ng.2641.txt , 10.18632_oncotarget.1609.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.7554_eLife.23966.txt , 10.1002_ajmg.a.38239.txt"
2009-05-007,Margaret Wallace, 2010,"10.4161_cbt.10.8.12878.txt , 10.1111_j.1349-7006.2010.01616.x.txt , 10.1038_ng.2641.txt , 10.18632_oncotarget.1609.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.7554_eLife.23966.txt , 10.1002_ajmg.a.38239.txt"
2010B-05-004,Margaret Wallace, 2010,"10.4161_cbt.10.8.12878.txt , 10.1111_j.1349-7006.2010.01616.x.txt , 10.1038_ng.2641.txt , 10.18632_oncotarget.1609.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.7554_eLife.23966.txt , 10.1002_ajmg.a.38239.txt"
2013-04-003,Margaret Wallace, 2013,"10.1038_ng.2641.txt , 10.18632_oncotarget.1609.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.7554_eLife.23966.txt , 10.1002_ajmg.a.38239.txt"
2015-04-004,Margaret Wallace, 2015,"10.7554_eLife.23966.txt , 10.1002_ajmg.a.38239.txt"
2011-10-001,Maria Acosta,2012,
